trial,distance_m,contrast_percent,bit_rate_bps,interference,signal_amplitude,noise_sigma,signal_to_noise_ratio,total_bits,bit_errors,bit_error_rate,packet_recovered,visibility_band
2,0.5,5.0,1.0,high,20.0,0.08944271909999159,223.60679774997897,48,0,0.0,True,higher-contrast
3,0.5,5.0,1.0,high,20.0,0.08944271909999159,223.60679774997897,48,0,0.0,True,higher-contrast
4,0.5,5.0,1.0,high,20.0,0.08944271909999159,223.60679774997897,48,0,0.0,True,higher-contrast
5,0.5,5.0,1.0,high,20.0,0.08944271909999159,223.60679774997897,48,0,0.0,True,higher-contrast
6,0.5,5.0,1.0,high,20.0,0.08944271909999159,223.60679774997897,48,0,0.0,True,higher-contrast
7,0.5,5.0,1.0,high,20.0,0.08944271909999159,223.60679774997897,48,0,0.0,True,higher-contrast
8,0.5,5.0,1.0,high,20.0,0.08944271909999159,223.60679774997897,48,0,0.0,True,higher-contrast
9,0.5,5.0,1.0,high,20.0,0.08944271909999159,223.60679774997897,48,0,0.0,True,higher-contrast
10,0.5,5.0,1.0,high,20.0,0.08944271909999159,223.60679774997897,48,0,0.0,True,higher-contrast
1,0.5,5.0,5.0,quiet,20.0,0.04,500.0,48,0,0.0,True,higher-contrast
2,0.5,5.0,5.0,quiet,20.0,0.04,500.0,48,0,0.0,True,higher-contrast
3,0.5,5.0,5.0,quiet,20.0,0.04,500.0,48,0,0.0,True,higher-contrast
4,0.5,5.0,5.0,quiet,20.0,0.04,500.0,48,0,0.0,True,higher-contrast
5,0.5,5.0,5.0,quiet,20.0,0.04,500.0,48,0,0.0,True,higher-contrast
6,0.5,5.0,5.0,quiet,20.0,0.04,500.0,48,0,0.0,True,higher-contrast
7,0.5,5.0,5.0,quiet,20.0,0.04,500.0,48,0,0.0,True,higher-contrast
8,0.5,5.0,5.0,quiet,20.0,0.04,500.0,48,0,0.0,True,higher-contrast
9,0.5,5.0,5.0,quiet,20.0,0.04,500.0,48,0,0.0,True,higher-contrast
10,0.5,5.0,5.0,quiet,20.0,0.04,500.0,48,0,0.0,True,higher-contrast
1,0.5,5.0,5.0,moderate,20.0,0.1,200.0,48,0,0.0,True,higher-contrast
2,0.5,5.0,5.0,moderate,20.0,0.1,200.0,48,0,0.0,True,higher-contrast
3,0.5,5.0,5.0,moderate,20.0,0.1,200.0,48,0,0.0,True,higher-contrast
4,0.5,5.0,5.0,moderate,20.0,0.1,200.0,48,0,0.0,True,higher-contrast
5,0.5,5.0,5.0,moderate,20.0,0.1,200.0,48,0,0.0,True,higher-contrast
6,0.5,5.0,5.0,moderate,20.0,0.1,200.0,48,0,0.0,True,higher-contrast
7,0.5,5.0,5.0,moderate,20.0,0.1,200.0,48,0,0.0,True,higher-contrast
8,0.5,5.0,5.0,moderate,20.0,0.1,200.0,48,0,0.0,True,higher-contrast
9,0.5,5.0,5.0,moderate,20.0,0.1,200.0,48,0,0.0,True,higher-contrast
10,0.5,5.0,5.0,moderate,20.0,0.1,200.0,48,0,0.0,True,higher-contrast
1,0.5,5.0,5.0,high,20.0,0.2,100.0,48,0,0.0,True,higher-contrast
2,0.5,5.0,5.0,high,20.0,0.2,100.0,48,0,0.0,True,higher-contrast
3,0.5,5.0,5.0,high,20.0,0.2,100.0,48,0,0.0,True,higher-contrast
4,0.5,5.0,5.0,high,20.0,0.2,100.0,48,0,0.0,True,higher-contrast
5,0.5,5.0,5.0,high,20.0,0.2,100.0,48,0,0.0,True,higher-contrast
6,0.5,5.0,5.0,high,20.0,0.2,100.0,48,0,0.0,True,higher-contrast
7,0.5,5.0,5.0,high,20.0,0.2,100.0,48,0,0.0,True,higher-contrast
8,0.5,5.0,5.0,high,20.0,0.2,100.0,48,0,0.0,True,higher-contrast
9,0.5,5.0,5.0,high,20.0,0.2,100.0,48,0,0.0,True,higher-contrast
10,0.5,5.0,5.0,high,20.0,0.2,100.0,48,0,0.0,True,higher-contrast
